game_id,play_id,nfl_id,player_name,player_position,route_cluster,route_label,pass_result,yards_gained,route_deviation,RouteExecIQ,ConvergenceIQ_WR,num_frames,air_yards,AirPlayIQ_WR,RouteExec_Weight,Convergence_Weight,AirPlayIQ_WR_Old
2023090700,101,44930,Josh Reynolds,WR,5,CORNER,I,0,2.476225163806557,0.7781892484346263,,,22,,,,
2023090700,361,38696,Marvin Jones,WR,3,HITCH,C,5,7.503548129721297,-0.875784026475237,0.7121990547725704,15.0,5,0.4787118754554369,0.147033795305718,0.852966204694282,-0.08179248585133331
2023090700,436,53541,Amon-Ra St. Brown,WR,4,SLANT,C,13,4.232591692925066,-0.8814985595170914,0.5020021887907689,6.0,6,0.2735448041797456,0.16512993208745724,0.8348700679125427,-0.1897481853631613
2023090700,461,44930,Josh Reynolds,WR,5,POST,C,21,5.028094116826219,-0.7312794197219641,0.7493334946867373,9.0,13,0.5364880004905774,0.14375498965653818,0.8562450103434617,0.00902703748238659
2023090700,530,53541,Amon-Ra St. Brown,WR,10,OUT,C,5,1.633231341846201,0.5491668715663585,-0.2607542061413589,7.0,4,-0.07867662166672301,0.22480904558004808,0.7751909544199519,0.14420633271249977
2023090700,621,53541,Amon-Ra St. Brown,WR,3,CROSS,C,9,4.027829891683527,0.6075996002102808,0.4424171032430157,6.0,3,0.47051808966083397,0.17012084775172737,0.8298791522482726,0.5250083517266483
2023090700,736,46213,Justin Watson,WR,5,CORNER,C,19,2.38474012582634,0.8323040172486148,-1.4287241330230673,14.0,18,-0.7475014969602258,0.3012888786815797,0.6987111213184203,-0.29821005788722627
2023090700,877,46243,Marquez Valdes-Scantling,WR,5,HITCH,C,14,5.684517489290697,-1.1195636662967445,1.2987331561583777,9.0,13,1.0759534687866597,0.09212255720765737,0.9078774427923426,0.08958474493081658
2023090700,902,55920,Rashee Rice,WR,10,HITCH,I,0,3.6609987291729578,-1.1654904051571213,,,4,,,,
2023090700,1001,55920,Rashee Rice,WR,1,HITCH,C,1,4.2522943860490425,-0.3364052041025683,-0.07607519430211036,11.0,1,-0.1310454649715008,0.21115610417533104,0.788843895824669,-0.20624019920233932
2023090700,1154,53541,Amon-Ra St. Brown,WR,0,CROSS,C,21,5.773932053678192,-0.15709907516196694,0.36683374836204513,11.0,21,0.2744295041179831,0.17636658765248575,0.8236334123475142,0.1048673366000391
2023090700,1494,38696,Marvin Jones,WR,1,IN,I,0,6.083910000946719,-1.4055581384788387,,,24,,,,
2023090700,1563,55920,Rashee Rice,WR,7,HITCH,C,25,11.996118758392184,-0.5000303609888458,0.042046650465447456,6.0,10,-0.06754427474982246,0.2021685533597109,0.797831446640289,-0.22899185526169916
2023090700,1588,46309,Richie James,WR,9,POST,I,0,5.079644016818224,-0.8520689947071951,,,38,,,,
2023090700,1618,55920,Rashee Rice,WR,10,IN,C,3,2.1281654454688175,0.1306561648753346,0.3803025329234213,6.0,3,0.336549384701569,0.175260503743538,0.824739496256462,0.25547934889937796
2023090700,1679,46243,Marquez Valdes-Scantling,WR,0,GO,C,34,6.243161150857918,-0.3114662605029532,-0.11136573517606306,17.0,33,-0.15414764895030214,0.21380210623809845,0.7861978937619015,-0.21141599783950812
2023090700,1711,46213,Justin Watson,WR,9,CORNER,C,26,2.040910911916504,1.04538962887684,-0.37340199269760604,18.0,23,-0.042955152967672716,0.23290723930497523,0.7670927606950249,0.33599381808961704
2023090700,1869,44930,Josh Reynolds,WR,8,HITCH,C,8,2.5883325018124337,0.07680312262835123,0.3763669339345635,6.0,6,0.32376831863330346,0.17558401020440365,0.8244159897955963,0.22658502828145738
2023090700,1940,38696,Marvin Jones,WR,0,OUT,I,0,6.26719462918193,-0.3193728042896235,,,18,,,,
2023090700,2186,38696,Marvin Jones,WR,10,HITCH,I,0,3.112478372588336,-0.7016677661666155,,,4,,,,
