,game_id,play_id,nfl_id,player_name,player_position,route_embed_1,route_embed_2,route_embed_3,route_embed_4,route_embed_5,route_embed_6,route_embed_7,route_embed_8,route_embed_9,route_embed_10,route_embed_11,route_embed_12,route_embed_13,route_embed_14,route_embed_15,pass_result,route_label,yards_gained,expected_points_added,route_cluster,pass_result_num,route_deviation,RouteExecIQ
0,2023090700,101,44930,Josh Reynolds,WR,11.773585605840704,11.4,1.9700000000000009,52.43,14.14,7.9,4.611153846153846,2.936110797532105,5.56,2.975769230769231,2,26,2.5,2.1999999999999997,0.9826201784006592,I,CORNER,0,-2.14544250350446,5,1,2.476225163806557,0.7781892484346263
1,2023090700,361,38696,Marvin Jones,WR,17.88817952495134,13.54,10.43,34.19,48.33,6.78,3.500980392156863,2.358838065575473,5.71,2.765490196078432,1,51,5.0,10.450000000000005,0.9554586563863692,C,HITCH,5,-0.862062418367714,3,0,7.503548129721297,-0.875784026475237
2,2023090700,436,53541,Amon-Ra St. Brown,WR,4.892000630561054,4.210000000000001,1.8799999999999957,33.67,37.8,4.43,2.512,1.6665583824472707,6.25,3.4915,2,20,1.9,2.049999999999997,0.9424966264541078,C,SLANT,13,1.61392725538462,4,0,4.232591692925066,-0.8814985595170914
3,2023090700,461,44930,Josh Reynolds,WR,9.427876481346548,8.950000000000003,2.539999999999999,51.82,13.98,6.89,4.187391304347826,2.6785956588401527,6.49,3.6491304347826095,1,23,2.2,2.619999999999999,0.9868018123358856,C,POST,21,1.34563262574375,5,0,5.028094116826219,-0.7312794197219641
4,2023090700,530,53541,Amon-Ra St. Brown,WR,4.8049470859013566,4.189999999999998,2.0700000000000003,89.25,17.22,4.14,2.4345000000000003,1.7043426731055058,4.08,2.512,2,20,1.9,2.0700000000000003,0.9726299756412266,C,OUT,5,0.0313836394343525,10,0,1.633231341846201,0.5491668715663585
5,2023090700,621,53541,Amon-Ra St. Brown,WR,12.54364179233874,3.799999999999997,11.520000000000003,102.95,24.43,8.29,4.401379310344828,3.011604608057129,4.26,2.350689655172413,1,29,2.8000000000000003,11.520000000000003,0.967068149714178,C,CROSS,9,2.85003123304341,3,0,4.027829891683527,0.6075996002102808
6,2023090700,736,46213,Justin Watson,WR,13.878055346615689,11.810000000000002,0.8799999999999955,46.650000000000006,19.879999999999995,7.84,4.566774193548387,2.7117723443002784,6.12,3.73258064516129,0,31,3.0,3.649999999999999,0.8533429285690753,C,CORNER,19,2.71753888227977,5,0,2.38474012582634,0.8323040172486148
7,2023090700,877,46243,Marquez Valdes-Scantling,WR,16.686312445308143,16.310000000000002,2.879999999999999,86.29,15.02,8.1,4.885588235294117,2.770473311686378,7.61,3.438529411764706,2,34,3.3000000000000003,2.879999999999999,0.9925693140074484,C,HITCH,14,1.14013414364308,5,0,5.684517489290697,-1.1195636662967445
8,2023090700,902,55920,Rashee Rice,WR,7.225112786739768,5.480000000000004,4.480000000000004,88.84,29.36,3.76,2.2375,1.4194274174991786,4.19,1.9565625000000004,1,32,3.1,4.490000000000002,0.9796652410047104,I,HITCH,0,-0.407669868902303,10,1,3.6609987291729578,-1.1654904051571213
9,2023090700,1001,55920,Rashee Rice,WR,11.56426314601078,10.079999999999998,4.890000000000004,117.57,34.84,4.86,3.024210526315789,1.4170804237776238,3.98,2.22,2,38,3.7,4.890000000000004,0.9688039587763092,C,HITCH,1,1.19511245097965,1,0,4.2522943860490425,-0.3364052041025683
10,2023090700,1154,53541,Amon-Ra St. Brown,WR,18.221714478581227,15.709999999999994,7.820000000000004,64.00999999999999,28.56,8.2,5.581212121212121,2.7233019452217344,5.3,2.993636363636363,1,33,3.2,7.820000000000004,0.9630646682770336,C,CROSS,21,1.89637397334445,0,0,5.773932053678192,-0.15709907516196694
11,2023090700,1494,38696,Marvin Jones,WR,13.290954489846404,11.900000000000006,5.450000000000003,66.87,37.46,6.69,4.492333333333333,2.18934517581184,4.16,2.5736666666666665,0,30,2.9000000000000004,5.490000000000002,0.9847780400352336,I,IN,0,-0.647368222824298,1,1,6.083910000946719,-1.4055581384788387
12,2023090700,1563,55920,Rashee Rice,WR,18.84744008821104,8.119999999999997,14.37,35.23,17.4,8.01,4.214444444444444,2.345321799547845,5.82,3.033555555555556,0,45,4.4,14.37,0.875741901701275,C,HITCH,25,1.02157063188497,7,0,11.996118758392184,-0.5000303609888458
13,2023090700,1588,46309,Richie James,WR,16.412176203633127,16.35000000000001,0.1700000000000017,67.76,38.8,8.82,5.562333333333333,3.1778735932558178,5.65,2.622,1,30,2.9000000000000004,0.6400000000000006,0.9962654291113554,I,POST,0,-0.324034651275724,9,1,5.079644016818224,-0.8520689947071951
